Date,KO,PEP
9/14/2020,49.526958,132.741959
9/15/2020,49.859024,131.722153
9/16/2020,49.605087,131.10054
9/17/2020,49.370689,129.371689
9/18/2020,49.273022,127.691406
9/21/2020,47.944752,127.468025
9/22/2020,48.501453,128.351868
9/23/2020,47.085278,127.234924
9/24/2020,47.56385,127.798248
9/25/2020,47.583385,129.711639
9/28/2020,48.130314,134.004593
9/29/2020,47.778717,133.217896
9/30/2020,48.218216,134.616501
10/1/2020,48.03265,136.753265
10/2/2020,48.208454,134.09201
10/5/2020,48.227985,133.965759
10/6/2020,47.798248,131.79985
10/7/2020,48.403786,133.072174
10/8/2020,49.282791,133.888062
10/9/2020,49.624626,134.46109
10/12/2020,49.898087,138.045029
10/13/2020,49.048389,139.414505
10/14/2020,48.950718,138.423828
10/15/2020,48.823757,137.365143
10/16/2020,48.862816,137.656525
10/19/2020,48.462383,135.665451
10/20/2020,49.077686,135.694611
10/21/2020,48.823757,135.587753
10/22/2020,49.497654,135.597473
10/23/2020,49.341389,135.548904
10/26/2020,48.638187,134.09201
10/27/2020,48.735851,135.121552
10/28/2020,46.84111,130.313812
10/29/2020,46.899712,130.138992
10/30/2020,46.938782,129.459091
11/2/2020,47.485714,131.26564
11/3/2020,48.198681,133.101318
11/4/2020,48.022881,133.897751
11/5/2020,48.286587,134.082306
11/6/2020,48.296352,134.402817
11/9/2020,51.343563,134.470795
11/10/2020,52.720665,137.64682
11/11/2020,52.330002,139.764145
11/12/2020,51.773296,139.705872
11/13/2020,52.203033,140.550903
11/16/2020,52.5937,141.570709
11/17/2020,52.42767,141.065659
11/18/2020,51.382629,139.259125
11/19/2020,51.890499,139.200836
11/20/2020,51.441227,139.297943
11/23/2020,51.450996,138.909454
11/24/2020,51.978397,139.890427
11/25/2020,51.695168,140.016693
11/27/2020,51.470528,140.444046
11/30/2020,50.791344,140.084686
12/1/2020,51.224453,141.871811
12/2/2020,51.29335,140.46347
12/3/2020,51.95285,141.297852
12/4/2020,53.006081,142.667313
12/7/2020,52.159561,142.197769
12/8/2020,52.346584,142.344513
12/9/2020,52.494232,142.510788
12/10/2020,52.21862,141.513046
12/11/2020,52.51392,141.806503
12/14/2020,52.435173,141.082657
12/15/2020,52.996239,141.610855
12/16/2020,52.228462,141.728256
12/17/2020,52.435173,142.530365
12/18/2020,52.897808,143.723724
12/21/2020,51.98238,142.227127
12/22/2020,51.933163,140.877243
12/23/2020,52.24815,141.258743
12/24/2020,52.602509,141.894547
12/28/2020,53.311226,143.704163
12/29/2020,53.281696,144.203049
12/30/2020,53.586834,144.095428
12/31/2020,53.980572,145.063843
1/4/2021,51.933163,141.12178
1/5/2021,51.362255,141.542389
